image_names,label,2,3,4,5,6
900000.jpg,0,102.7798078,0.498659559,0.972442372,0.048653892,3.98124431
900005.jpg,0,99.28846737,0.477819708,0.972765724,0.044942081,4.004582701
900010.jpg,0,97.49644917,0.469487395,0.972742112,0.044401611,4.024704097
900015.jpg,0,97.1280526,0.468368,0.972022357,0.044747139,4.006514922
900020.jpg,0,93.61648963,0.469395373,0.972944432,0.044471362,3.973717754
900025.jpg,0,92.71609509,0.46718527,0.97307747,0.043763168,3.948265048
900030.jpg,0,94.63526555,0.47021152,0.973252937,0.043373171,3.907840162
900035.jpg,0,89.43665149,0.478354465,0.974979021,0.0443736,3.795113809
900040.jpg,0,92.26496712,0.473638097,0.97389263,0.044595319,3.856874052
900045.jpg,0,96.95327264,0.447985801,0.973418368,0.040267274,4.086282246
900050.jpg,0,102.6203237,0.52398306,0.973868566,0.047019633,3.724218513
900055.jpg,0,92.5401214,0.564754088,0.979856987,0.105092479,3.395093576
900060.jpg,0,126.5971573,0.505067858,0.971238152,0.041385049,4.259413252
900065.jpg,0,117.6792312,0.490404091,0.972562497,0.040783481,4.19969651
900070.jpg,0,108.8496206,0.545068288,0.974681774,0.083792283,3.803915023
900075.jpg,0,148.2141528,0.481614415,0.969392529,0.03824292,4.71588265
900080.jpg,0,163.1588872,0.484432097,0.965368954,0.038603232,4.875306019
900085.jpg,0,150.4937987,0.476004872,0.964487086,0.038870288,4.717005564
900090.jpg,0,146.1565706,0.48045217,0.963317014,0.040696009,4.561770359
900095.jpg,0,135.8827921,0.481918665,0.963512636,0.041513181,4.439028832
900100.jpg,0,116.221568,0.490652173,0.967039951,0.042948845,4.107010622
900105.jpg,0,116.5193829,0.486355712,0.966977621,0.042706422,4.148598887
900110.jpg,0,124.5038341,0.476856736,0.964774307,0.041636087,4.321274659
900115.jpg,0,115.235822,0.468720617,0.967395554,0.040434897,4.283368741
900120.jpg,0,122.7859889,0.489564176,0.965567412,0.042328409,4.341760243
900125.jpg,0,108.7227516,0.474446646,0.970585494,0.040694196,4.25958523
900130.jpg,0,118.4330905,0.458027743,0.967860822,0.040851333,4.425624684
900135.jpg,0,119.7691553,0.453911324,0.967212133,0.036248949,4.477481032
900140.jpg,0,116.3048963,0.465651267,0.969574215,0.037265736,4.399706626
900145.jpg,0,125.4345979,0.462862417,0.967475946,0.038251558,4.530399595
900150.jpg,0,129.5968741,0.455217974,0.966799935,0.038164136,4.68245827
900155.jpg,0,133.8933232,0.438014365,0.96665062,0.035418589,4.861578149
900160.jpg,0,132.5308245,0.43828056,0.967413324,0.035716928,4.793930197
900165.jpg,0,131.2222054,0.454228006,0.967933861,0.037899258,4.694962064
900170.jpg,0,120.6194537,0.455583769,0.969608605,0.03797725,4.496965099
900175.jpg,0,116.3097218,0.451950035,0.969154028,0.03782981,4.446029337
900180.jpg,0,117.3174001,0.474789277,0.968540998,0.041138555,4.401122914
900185.jpg,0,109.58,0.460099186,0.969883359,0.039929172,4.314081942
900190.jpg,0,112.5015781,0.449015597,0.96884808,0.038459331,4.369013657
900195.jpg,0,120.4809408,0.457718718,0.970383203,0.04928951,4.457491148
900200.jpg,0,122.0602934,0.469324277,0.968534889,0.037074102,4.350085989
900205.jpg,0,106.1410116,0.520419269,0.974886693,0.097372781,3.945725847
900210.jpg,0,117.8308042,0.465585627,0.971131841,0.036437903,4.375427415
900215.jpg,0,115.7968741,0.459173663,0.970665419,0.034967007,4.335467881
900220.jpg,0,95.78727365,0.472354059,0.977154826,0.046538156,4.122083966
900225.jpg,0,130.6133333,0.4520812,0.969869662,0.032467232,4.667273647
